 ,PRESTADOR,PRODUCTO,DETALLES,DURACIÓN ,COSTO,VALOR PROMOCIONAL (Efectivo o transferencia),VALOR OFICIAL (hasta 3 cuotas sin interes),Flyer,OBSERVACIONES,PLANTILLA KOMMO
CABALGATAS,Celeste Sanita,Cabalgata con almuerzo o cena,"""Incluye: Traslados + 2 hs de Cabalgata + Almuerzo con empanadas, agua y vino. // Disponible: Lun, Mie, Vie y Sab de 08:30 a 13:30hs """,MEDIO DIA,"$100,000","$140,000","$165,000",si,"Búsqueda por hoteles céntricos - SE REALIZA EN RANCHO EL QUIRQUINCHO, Luján de Cuyo. Incluye: Asado criollo, empanadas, ensaladas, vino y agua",
,KAHUAK,Cabalgata Criolla,"Incluye: Traslados + 2 hs de Cabalgata + Almuerzo liviano con empanadas, agua y vino. // Disponible: Lun, Mie, Vie y Sab de 08:30 a 13:30hs ",MEDIO DIA,75 USD,"Valor promocional: Chequear valor del dólar oficial ""venta"" de Banco Nación, sumar $30.000 por pax  //  Valor con tarjeta: Colocar el valor promocional en la calculadora de cuotas",,TARIFARIO: https://docs.google.com/spreadsheets/d/1XXNF14d4XAk_vkfVUnVEYBSqfN4e0oyE/edit?usp=sharing&ouid=100467720750430210214&rtpof=true&sd=true,"VIGENTES HASTA ABRIL 2027 (TARIFAS USD VENTA OFICIAL DE BANCO NACION) -  SE REALIZAN EN UN PUESTO DE LUNLUNTA, MAIPÚ  // Pick up y drop off sólo por hoteles céntricos. Los puntos de pick up fuera de la ciudad son los siguientes:

* Quick Point de Araoz  * YPF Manita
* Complejo Álamo  * H Esplendor
* H Casino Cóndor  * H Ibis
* H Hator   * H Club Tapiz",
,,Cabalgata Atardecer,Incluye: Traslados + 2 hs de Cabalgata + cena de asado completo con bebidas. // Disponible todos los días ,MEDIO DIA,95 USD,,,Ofrecer sólo cuando no tenga dispo Sanita,,
,JAL CABALGATAS,Full Day Valle de Uco,"Incluye: Traslados de las ciudad + Cabalgata a orillas del Arroyo ""Pircas"" (4 hs) + Asado completo con bebidas y postre + Fotos y videos ",FULL DAY,-,-,-,si,"SE REALIZAN EN LA CORDILLERA DE TUNUYAN, MANZANO HISTÓRICO // Cupo mínimo: 2 pax ",
AVENTURA ,XNOCCIO,Combo Termas - Cacheuta,"Incluye: Rafting en cacheuta + Tirolesa + Termas + Traslado.
",FULL DAY,"$80,000","$115,000","$130,000",,SOLICITAR RVAS POR EL GRUPO CON XNOCCIO  //   INCLUYE TRASLADOS A PARTIR DE LAS 08:30HS ,
,,"Combo Termas 
Potrerillos","inclueye: Rafting en potrerillos + Tirolesa + Termas + Traslado.
",FULL DAY,"$112,000","$145,000","$165,000",,,
,RIO AVENTURA (RIOS ANDINOS),Full Day Aventura con 3 actividades ,Incluye: Rafting 12 km + Canopy Andino 3 tramos (700m) + Rappel + Traslado grupal desde el alojamiento ,FULL DAY,"$117,925","$153,000","$170,000",si,Tarifa Enero. Incluye traslado grupal,
,,Rafting Potrerillos (SI O SI DIA COMPLETO),"Recorrido: 06 km · Duración: 1.30 h aprox. Nav: 45 min
Dificultad: II+ / III. A partir de 8 años (consultar)",FULL DAY,"$68,500","$89,000","$99,000",si,,
,ARGENTINA RAFTING,Rafting Full Day,"Recorrido: 30 km · Navegacion: 3 hs 30"" aprox. Dificultad: III ·        A partir de 12 años",FULL DAY,-,-,-,si,"INCLUYE TRASLADO GRUPAL X PERSONA ($50.000)  //  TARIFAS VIGENTES HASTA 30 de SEPTIEMBRE  //  Traslado Mendoza- Potrerillos- Mendoza
• TRF desde Mendoza: entre las 9:00 hs y las 09:30 hs
• Regreso a Mendoza para los pasajeros que tienen una sola actividad desde 15.30hs. y 2 actividades desde las 17.30hs.  // OBSERVACIÓN IMPORTANTE: El valor de ""Costo"" es sólo de las actividades no incluye traslado, el cual SI está INCLUIDO en el PRECIO DE VENTA",
,,Rafting Invierno ,"Recorrido: 8 km · Duración: 2 h aprox. Nav: 1 h
Dificultad: II+ / III. A partir de 8 años (consultar)",MEDIO DIA,"$107,600","$135,000","$156,000",,,
,,Trekking con Rappel,"Ubicación: Garganta del Diablo
Duración: 2 1⁄2 h aprox.
Dificultad: Moderada",MEDIO DIA,"$107,600","$135,000","$156,000",,,
,,"Trekking ""Garganta""","Ubicación: Garganta del Diablo, Potrerillos
Duración: 2 h aprox.
Dificultad: Moderada",MEDIO DIA,"$101,200","$126,000","$146,000",,,
,,"Trekking ""C. Bayo""","Ubicación: Cerro Bayo, Potrerillos · Duración: 2.30 hs aprox.
Dificultad: Int/ Difícil",MEDIO DIA,"$114,000","$142,000","$165,000",,,
,,Kayak Travesía,"Dique Potrerillos · Duración:1 1⁄2 h aprox. Dificultad: Moderada
A partir de 7 años (consultar)",MEDIO DIA,"$107,600","$135,000","$156,000",,,
WINE TOURS,VEMPRA,Wine Tour Grupal Vempra Maipú,Incluye: Visitas y degustación premium maridadas con alfajores en Bodega Sin Fin + Visita y Almuerzo con vino libre + degustación aceites de oliva en Bodega Atilio Avena.  Brindis final en bodega De 9:00 a 17:30 hs aprox (Min 2 pax),FULL DAY,"$132,500","$160,000","$185,000",si,"🍷 WINE TOUR VEMPRA | Recorrido por la cuna del vino. 
💰Valor por persona: $185.000 p/p
*Válido para pagos con tarjetas hasta en 3 cuotas sin interés, transferencia o efectivo (salvo seña para reservar)
*Valor abonando con efectivo o transferencia: $166.500

-PROMO DÍAS ESPECIALES 🎉
📅 Salidas: MARTES, JUEVES Y SABADOS 
💰Valor por persona: $160.000 p/p (Base doble)
⚠️Aplicable para los días indicados, abonando con transferencia o efectivo (Excepto seña para reservar) 
",
,,Wine Tour Grupal Vempra Luján de Cuyo (Alta Gama),Incluye: Visita en carrito de golf y degustación de 4 copas en Finca Bandini + Visita y almuerzo de 4 pasos en Bodega Lamadrid  (Min 2 pax),FULL DAY,"$168,100","$215,000","$247,000",,Grupo de hasta 12 pax  // Días de salida: Lunes y Viernes,
,,Wine Tour Clásico Luján de Cuyo (Económico),Incluye: Visita y degustación con tabla de quesos y dulces en bodega Bonfanti + Visita y almuerzo de 3 pasos maridados en bodega Dante Robino. (Min 2 pax),FULL DAY,"$142,500","$179,000","$205,500",,Grupo de hasta 12 pax  // Días de salida: Lunes y Viernes,
NIEVE,AMERICAN SKI,LAS LEÑAS,"Incluye: Traslado + Equipo de ropa de nieve (Enterito+Botas+Guantes) o Equipo de Ski Básico (NO SNOW)
Salida: Todos los días con Punto de Encuentro (Sucursal American Ski de calle Las Heras)
Horarios: de 2 a 22:30hs aprox
 ",FULL DAY,"$74,000","$99,000","$113,000",,"❄️ Las Leñas
Ideal para quienes buscan adrenalina, variedad de pistas y paisajes únicos. Tiene snowpark, trineos, sectores para principiantes y descenso de 7 km.

 📍 Punto de encuentro: Av. Las Heras 529 (AMERICAN SKI), Ciudad de Mendoza

❌ No incluye: Pase a medios de elevación, Comidas, Clases de esquí, Trineos.

",
,,PUQUIOS ,"Incluye: Traslado + Equipo de ropa de nieve (Enterito+Botas+Guantes) o Equipo de Ski Básico (NO SNOW)
Salida: Todos los días con Punto de Encuentro (Sucursal American Ski de calle Las Heras)
Horarios: de 7 a 20:30hs aprox
 ",FULL DAY,"$54,000","$79,000","$91,000",,"❄️ Los Puquios – Diversión familiar y segura
El parque ideal para principiantes, niños y familias. Tiene pista de trineo, medios de elevación suaves y un entorno cuidado y accesible.

📍 Punto de encuentro: Av. Las Heras 529 (AMERICAN SKI), Ciudad de Mendoza

❌ No incluye: Pase a medios de elevación, Comidas, Clases de esquí, Trineos.

",
,,PENITENTES,,FULL DAY,"$54,000","$79,000","$91,000",,"❄️ Penitentes – Nieve accesible para todos
Una opción simple para disfrutar del paisaje nevado y jugar con trineos. Este año abrirá con servicios básicos para pasar el día y hacer actividades recreativas como trineo o culipatin, ya que no cuenta con medios de elevación.

📍 Punto de encuentro: Av. Las Heras 529 (AMERICAN SKI), Ciudad de Mendoza

❌ No incluye: Comidas, tickets de ingreso, ni Trineos.

",
,"IMPORTANTE: 
Al momento de alquilar los equipo, los chicos les solicitarán una tarjeta de crédito en garantía (Solo datos del frente). Es importante que el pax sepa esto antes de llegar al rental.
El Equipo de Snowboard NO ESTÁ INCLUIDO EN EL PAQUETE
En caso de no querer el Enterito térmico y optar por pantalón y campera, deben abonar una diferencia de $15.000 (netos) por persona
En caso de querer un equipo mejor de Ski (Sport) la diferencia a abonar es de $20.000 (netos) por pasajero
SOBRE LOS “ACCESORIOS” DEL TARIFARIO (antiparras, trineos, casco, etc) TENEMOS 20% DE COMISIÓN
",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,CATA ,LAS LEÑAS,"TRASLADO DIRECTO MZA-LAS LEÑAS-MZA DESDE LA TERMINAL DE BUSES
Mendoza - Las Leñas
Salida: 2 am / Llegada: 8.30hs
Las Leñas - Mendoza 
Salida: 17:30hs  / Llegada: 00 hs ",FULL DAY,"$60,600","$86,000",CUOTAS NO,VALORES POR TRAMO (multiplicar valores x2 si es ida y vuelta),"Disponibles a partir del 01/07
No comisionables a menos que sea un grupo de + 10 personas (10% off) 
Se reserva por la pagina de Cata
https://shop.catainternacional.com/trips/oneway/type/1/f/710/t/637/d/2026-07-03/iR/1/c/2026-07-04/l/es/p/1",
,MILLANTI,EXCURSION LAS LEÑAS,"Incluye: Traslado + Guia + Búsqueda por hoteles céntricos y próximos a ruta 144.
NO INCLUYE: EQUIPOS DE NIEVE (20% OFF en rental determinado), ni ACCESO A PARQUE AVENTURA en Las Leñas
Salida: 8:30hs / Llegada a las Leñas: 12hs / Inicio de Regreso: 16hs 
Menores: De 0-2 años: Sin costo // De 3-7 años: 50% del valor oficial   
",FULL DAY,"$92,000","$115,000","$132,000",,,
